decile,L1_coef_logpoint,L1_se_logpoint,L1_pct,L1_pct_se,L2L3_coef_logpoint,L2L3_se_logpoint,L2L3_pct,L2L3_pct_se,VPD_coef_logpoint,VPD_se_logpoint,VPD_pct,VPD_pct_se
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0005128134344183823,0.0016560305303622144,0.05129449457068613,0.16568799828527,0.0016500418542942917,0.0007582523529272763,0.16514039224082566,0.07595045338370757,-0.002498579959818847,0.002683289391571539,-0.2495461107019481,0.2676593347255994
3,0.0018149935732639554,0.0016750275046002149,0.1816641671044339,0.1678070429365217,0.002611143076692541,0.000884778124208702,0.2614555079872627,0.0887091425347912,-0.000299945527939484,0.0024992561581415797,-0.029990054877682137,0.24985066298482192
4,-0.0008003997090077685,0.0020283248648237683,-0.080007947460492,0.20267020437315922,0.0039702108478902745,0.001034342458139787,0.39781025754630495,0.10384571785364236,-0.00014515391519457786,0.0026080239470977996,-0.014514338087467937,0.26076454096847157
5,-0.0011775785900982878,0.0024562167776611436,-0.11768855165066316,0.24533260917101135,0.004947622955643449,0.0012101731795222427,0.49598826525460993,0.12161754964819316,-0.005278895534073128,0.0027270412072520032,-0.5264986650320824,0.27126833717009463
6,0.0002849295484424816,0.002330308538150039,0.028497014472184112,0.2330972606511402,0.0038125608698350425,0.0015588971691381773,0.38198379251612735,0.15648519036662778,-0.007116601609663896,0.002575571637771413,-0.7091338564960803,0.2557307387289665
7,-0.006701921343109835,0.0026243585148931696,-0.6679513554622041,0.2606829076620753,0.007428316245358225,0.001478921836076499,0.7455974629137607,0.14899486397647632,-0.007807796353277125,0.002566163638419237,-0.7777394686126704,0.2546205570974064
8,-0.004502613591241239,0.0027286646799736403,-0.4492492023532968,0.2716406175663963,0.008793249925445975,0.0018756531656931746,0.8832024114621806,0.18922189796832434,-0.008339454542295613,0.0024163846830436747,-0.830477775338534,0.23963171452843127
9,-0.007878316309032374,0.002964972120263985,-0.7847363713217481,0.2941704905636724,0.010079499465124717,0.0021684037829436276,1.0130468724126818,0.21903707296480163,-0.007919426175778519,0.00262864765713079,-0.788815013751909,0.26079124897527045
10,-0.013362417283681904,0.0036650383007686012,-1.327353651360419,0.36163902810595916,0.011292558533059327,0.0026678346821971616,1.1356560159325735,0.26981321072606695,0.0008257766129805227,0.003253601557073785,0.08261176603576725,0.3256289414779851
