admin2_idx,ineffective_freq,opposite_freq
1,0.09139150943396226,0.00589622641509434
2,0.07016509433962265,0.004127358490566038
3,0.05188679245283019,0.001768867924528302
4,0.09375,0.001474056603773585
5,0.06289308176100629,0.018867924528301886
6,0.08579009433962265,0.013266509433962265
7,0.06692216981132075,0.0
8,0.04097877358490566,0.0
9,0.044516509433962265,0.009433962264150943
10,0.05365566037735849,0.0
11,0.03508254716981132,0.0
12,0.02034198113207547,0.0
13,0.07694575471698113,0.0
14,0.0294811320754717,0.0
15,0.08225235849056604,0.00029481132075471697
16,0.041568396226415096,0.0
17,0.0440251572327044,0.0009433962264150943
18,0.003537735849056604,0.0
19,0.06886383347788379,0.01595836947094536
20,0.12383177570093458,0.0
21,0.06742323097463285,0.0
22,0.12272889205557534,0.0003562522265764161
23,0.028942115768463075,0.0
24,0.030798640611724725,0.0
25,0.09803921568627451,0.0037187288708586883
26,0.09885999287495546,0.003028143925899537
27,0.06313963573287078,0.0388551604509974
28,0.0,0.05037187288708587
29,0.12383177570093458,0.000637213254035684
30,0.03016142735768904,0.0
31,0.039163328882955054,0.0
32,0.02947098663737873,0.0
33,0.08468559837728194,0.02231237322515213
34,0.011819414842084867,0.0
35,0.11819414842084867,0.0
36,0.09079260479589969,0.0003660992128866923
37,0.10036814570819609,0.000968804495252858
38,0.12527814864263462,0.004672897196261682
39,0.12574341546304163,0.0019116397621070519
40,0.06678230702515178,0.0
41,0.0951571792693288,0.004035683942225999
42,0.037783375314861464,0.0
43,0.057561597281223446,0.03759558198810535
44,0.11448598130841121,0.0008496176720475786
45,0.10327924273157539,0.006085192697768763
46,0.13512575888985257,0.0008673026886383347
47,0.10049423393739704,0.013728720483250962
48,0.0012142237640936687,0.0
49,0.006008010680907877,0.0
50,0.0016992353440951572,0.0
51,0.0016992353440951572,0.0
52,0.11363636363636363,0.004035683942225999
53,0.051846906987093905,0.0
54,0.059048428207306713,0.0
55,0.018691588785046728,0.0
56,0.06074766355140187,0.0
57,0.01824655095683133,0.0
58,0.06008010680907877,0.0
59,0.14422259983007646,0.00021240441801189465
60,0.12032551831040496,0.0013563262933540012
61,0.11993799651230382,0.008331718659174578
62,0.10790144435004248,0.0159303313508921
63,0.0,0.11412516954078666
81,0.10417881438289602,0.001943634596695821
82,0.05889212827988338,0.00019436345966958212
83,0.09290573372206025,0.001554907677356657
84,0.10029154518950437,0.005053449951409135
85,0.05947521865889213,0.0
86,0.09757045675413023,0.002137998056365403
87,0.056365403304178816,0.00019436345966958212
89,0.046452866861030125,0.0
90,0.007774538386783284,0.0
92,0.012633624878522837,0.0
93,0.09446064139941691,0.0
94,0.0163265306122449,0.0
95,0.0023323615160349854,0.0
97,0.002137998056365403,0.0
98,0.1313896987366375,0.0
99,0.0,0.0
100,0.10184645286686103,0.0
101,0.02816326530612245,0.0
102,0.16112730806608358,0.0
103,0.031292517006802724,0.0
104,0.0009718172983479105,0.0
105,0.0,0.0
106,0.0923226433430515,0.0
107,0.0,0.0
108,0.0,0.0
109,0.003498542274052478,0.0
110,0.014382896015549077,0.0
111,0.03984450923226433,0.0
112,0.10942662779397473,0.0005830903790087463
113,0.11370262390670553,0.0
114,0.10398445092322643,0.0005830903790087463
115,0.10689990281827016,0.005053449951409135
116,0.10379008746355685,0.0
117,0.09815354713313897,0.004081632653061225
118,0.0989310009718173,0.0013605442176870747
119,0.09755102040816327,0.00040816326530612246
120,0.10592808551992225,0.008746355685131196
121,0.0,0.0
122,0.0,0.0
123,0.0058309037900874635,0.0
124,0.0052478134110787176,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.09757045675413023,0.00038872691933916425
130,0.10301263362487852,0.00019436345966958212
131,0.1043731778425656,0.00038872691933916425
132,0.08979591836734693,0.0
133,0.09057337220602527,0.0023323615160349854
134,0.1022351797862002,0.00038872691933916425
135,0.0326530612244898,0.0
137,0.0013605442176870747,0.0
138,0.0,0.0
139,0.0011661807580174927,0.0
140,0.03751214771622935,0.0
141,0.08143828960155491,0.0
142,0.06433430515063168,0.0
143,0.05344995140913508,0.0007774538386783285
144,0.08163265306122448,0.0007774538386783285
145,0.06588921282798833,0.0
146,0.03440233236151603,0.0
147,0.0,0.001554907677356657
148,0.001749271137026239,0.0
149,0.003109815354713314,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0005830903790087463,0.0
153,0.13391642371234208,0.011273080660835762
154,0.0,0.003498542274052478
155,0.007580174927113703,0.001749271137026239
156,0.02959183673469388,0.0034693877551020408
201,0.0,0.029789719626168224
202,0.0,0.0689252336448598
203,0.0,0.1191588785046729
204,0.0,0.13960280373831777
205,0.051985981308411214,0.004672897196261682
216,0.0,0.0
218,0.0,0.018107476635514017
220,0.07593457943925233,0.0
222,0.0029205607476635513,0.03271028037383177
223,0.13901869158878505,0.0
224,0.1302570093457944,0.009929906542056074
229,0.13200934579439252,0.0
230,0.06950934579439252,0.0005841121495327102
231,0.15287049399198932,0.0
232,0.06016355140186916,0.0
233,0.0,0.012016021361815754
235,0.0,0.01985981308411215
237,0.0,0.02336448598130841
253,0.0,0.05782710280373832
259,0.061872909698996656,0.01588628762541806
260,0.029264214046822744,0.0225752508361204
261,0.05713489409141583,0.006967670011148272
262,0.05239687848383501,0.005295429208472687
263,0.03901895206243032,0.0713489409141583
264,0.0,0.21265328874024525
268,0.008051529790660225,0.0
271,0.0,0.06159420289855073
272,0.0,0.09531772575250837
273,0.0,0.08333333333333333
274,0.0,0.11677814938684504
275,0.0,0.0640096618357488
276,0.0039018952062430325,0.054905239687848384
277,0.04821627647714604,0.0030657748049052395
278,0.0,0.09364548494983277
279,0.0,0.0036231884057971015
280,0.0005574136008918618,0.07525083612040134
281,0.060479375696767,0.020903010033444816
282,0.0,0.14492753623188406
283,0.0,0.07775919732441472
284,0.0,0.06521739130434782
285,0.0,0.041527313266443704
286,0.0,0.048494983277591976
287,0.0002787068004459309,0.0838907469342252
289,0.0,0.010869565217391304
290,0.05629877369007804,0.0030657748049052395
291,0.01644370122630992,0.006967670011148272
292,0.0,0.03567447045707915
293,0.005016722408026756,0.03372352285395764
294,0.0,0.1454849498327759
295,0.0,0.018673355629877368
296,0.0,0.0016722408026755853
298,0.0,0.04319955406911929
299,0.0,0.10033444816053512
300,0.0036231884057971015,0.0008361204013377926
301,0.0,0.1262541806020067
302,0.0008361204013377926,0.0
303,0.04846014492753623,0.0
304,0.020345596432552956,0.0
314,0.0,0.16666666666666666
315,0.0,0.05546265328874025
316,0.0,0.14464882943143811
317,0.0,0.1107085346215781
318,0.0,0.06382385730211818
319,0.0,0.09225195094760312
320,0.0,0.025362318840579712
321,0.0,0.04013377926421405
322,0.0,0.02789855072463768
323,0.02206851119894598,0.0
324,0.0,0.007803790412486065
325,0.0,0.0013175230566534915
326,0.0,0.0
327,0.0,0.011705685618729096
328,0.0,0.054626532887402456
329,0.07246376811594203,0.0
330,0.0,0.03511705685618729
331,0.0,0.0196256038647343
332,0.0,0.14935587761674718
333,0.0,0.1956521739130435
334,0.0,0.06438127090301003
335,0.0,0.033267457180500656
336,0.0,0.0036231884057971015
337,0.0,0.09138486312399356
338,0.0009881422924901185,0.07872200263504611
339,0.0,0.15734989648033126
342,0.0,0.15786749482401657
377,0.05553382870551427,0.0
378,0.01663286004056795,0.0
379,0.03167774736018772,0.0
380,0.087211576065702,0.0
