decile,L1_coef_logpoint,L1_se_logpoint,L1_pct,L1_pct_se,L2L3_coef_logpoint,L2L3_se_logpoint,L2L3_pct,L2L3_pct_se,VPD_coef_logpoint,VPD_se_logpoint,VPD_pct,VPD_pct_se
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.003965466037015095,0.002073040046168557,0.3973338900544965,0.20812769368263864,0.001660012680526658,0.0010013546557053736,0.16613912642930995,0.10030182975828217,-0.002038454332290988,0.0021380018908495873,-0.20363780952696864,0.21336481106314162
3,0.004672383263409004,0.002068627939611807,0.4683315866561344,0.20783159776634033,0.0020496887542202817,0.0011817703302845896,0.2051790802150899,0.11841950757785222,-0.00017070489481722906,0.0021867376886486275,-0.01706903255657144,0.21863644336806254
4,0.00424820316246765,0.002047838147308735,0.42572395691549136,0.20565562849006827,0.0029807664331765404,0.0013546158976053583,0.2985213334735004,0.1358659715046334,-0.0003786197373509925,0.002341214026015616,-0.03785480699434185,0.23403277639647435
5,0.00174708780842442,0.002197076904434652,0.17486148554952674,0.2200918745748412,0.002524811018627519,0.0013144310475894593,0.2528001038134553,0.13177539306423217,-0.004391411712559764,0.002412899428692484,-0.43817835630241,0.2402326625636609
6,0.0028655285066353483,0.0022810627991920983,0.286963805785434,0.22876086238130156,0.0033890073720614575,0.0014122681088636637,0.3394756550380018,0.14170624152771213,-0.0068594983074216406,0.002432287744691134,-0.6836025649790467,0.2415660563280754
7,0.001706043479869969,0.00240083153580379,0.17074995999979414,0.24049309546908376,0.004385065156852681,0.0015525612773713347,0.43946936237413414,0.1559384308517466,-0.007959952212858869,0.002417856600522555,-0.7928355684443278,0.23986869733996335
8,-0.00014106074745090557,0.002545115150125094,-0.014105079885140537,0.25447561596,0.00648361388160127,0.0017094152622203077,0.6504678005358588,0.17205344580784965,-0.007238813850563952,0.002435694499393538,-0.7212676742827551,0.24181266223251294
9,-0.0022776542229298404,0.0026788107747652726,-0.22750623367304712,0.2672716313264376,0.0056045785182071775,0.0019555786627680114,0.5620313550731115,0.1966569628025887,-0.006918213627834051,0.0027225257878040867,-0.6894337878839196,0.2703755775139113
10,-0.0030232387477517855,0.0030021961336968114,-0.30186733633966734,0.2993133484196328,0.00951069160806536,0.002230942358562047,0.9556061955890094,0.22522613819604856,0.004196713813632615,0.003458704181025549,0.4205532349023544,0.3473249873344555
