koppen_id,koppen_name,n_train,n_test,n_fixed,test_r2,delta_energy,delta_surface,delta_rootwater,dominance,top_var,top_var_delta,sw_threshold,tmax_threshold,bootstrap_iters
1,Tropical (Af/Am),10595,2593,50,0.5180761434974361,0.10856693880579116,0.016846825796425508,0.1765377554637365,RootWater,SM L3,0.07196690105453094,21.6,18.0,1000
2,Savanna (Aw),82856,20322,65,0.36986770964017446,0.08549383022219709,0.009998569963752642,0.11995530401820695,RootWater,VPD,0.05139291637269083,21.6,18.0,1000
3,Desert (BW),41828,10517,50,0.349791364127084,0.07807359005798827,0.008065238340932115,0.15774273904565222,RootWater,SM L3,0.07388986812294007,21.6,18.0,1000
4,Semi-arid (BS),71780,17811,55,0.3834310759505848,0.06756236752333857,0.00907848961778186,0.15681401739937684,RootWater,SM L3,0.039913100700324694,21.6,18.0,1000
5,Temperate + Med,45463,11045,62,0.39289384199257715,0.0768718094235356,0.013468513421980901,0.12964893471624953,RootWater,SM L3,0.04925524390940225,21.6,18.0,1000
