koppen_id,koppen_name,full_model_r2,feature_group,shapley_r2,share_percent,ci_low,ci_high,drop_delta_r2
1,Tropical (Af/Am),0.40486406433221034,Energy,0.1256077831881509,31.024680690130037,0.1150673841736515,0.1367963265255685,0.09335961801188075
1,Tropical (Af/Am),0.40486406433221034,SurfaceWater,0.0763408608689602,18.855924147004284,0.06612390696844794,0.08354173451386572,0.013330402411771858
1,Tropical (Af/Am),0.40486406433221034,RootWater,0.20291542027509918,50.119395162865665,0.1875123537358519,0.21960998824740402,0.1311529018176748
2,Savanna (Aw),0.2941759936316427,Energy,0.08636771929376695,29.359200330232827,0.08286095192726481,0.09014278194105656,0.06415904460535415
2,Savanna (Aw),0.2941759936316427,SurfaceWater,0.06043305170312152,20.54316226047791,0.0581766790224945,0.06344574821289167,0.009506765225772096
2,Savanna (Aw),0.2941759936316427,RootWater,0.14737522263475422,50.097637409289256,0.1423979296790346,0.15105098742366482,0.09845121337281126
3,Desert (BW),0.37224729518474764,Energy,0.0943771552792088,25.353348835582295,0.08630351722085014,0.10058755321336722,0.060582567159775946
3,Desert (BW),0.37224729518474764,SurfaceWater,0.07289315982778133,19.58191792679224,0.06513402489807948,0.07856344709635273,0.01589983953295837
3,Desert (BW),0.37224729518474764,RootWater,0.20497698007775747,55.064733237625454,0.18830777840766072,0.22471807848992448,0.15822749390071544
4,Semi-arid (BS),0.3353281277338924,Energy,0.07751345193931382,23.115702360890662,0.07239391622554237,0.08310124315253788,0.052688427514123615
4,Semi-arid (BS),0.3353281277338924,SurfaceWater,0.06543263310340121,19.51301656248975,0.05998449381138523,0.07040007646035443,0.011724433670390333
4,Semi-arid (BS),0.3353281277338924,RootWater,0.19238204269117737,57.37128107661958,0.1828755869907881,0.20139446844742756,0.1359238732227379
5,Temperate + Med,0.3631748724758873,Energy,0.09670908394837,26.628792705032456,0.08834029559285517,0.10373045380397697,0.06599643978570036
5,Temperate + Med,0.3631748724758873,SurfaceWater,0.06635816887597759,18.271685049020945,0.06145306789388835,0.07111405776029417,0.010213219544491947
5,Temperate + Med,0.3631748724758873,RootWater,0.20010761965153967,55.09952224594659,0.1910866364589267,0.21038483927053128,0.14670082975082144
