koppen_id,koppen_name,test_r2,delta_energy,delta_surface,delta_rootwater,dominance,top_var,top_var_delta
1,Tropical (Af/Am),0.40365678697157426,0.0892544073957089,0.013245491118168282,0.13185083414632873,RootWater,VPD,0.05175223042136096
2,Savanna (Aw),0.29479637241804146,0.06432873589773876,0.009663185410565744,0.0991754201988996,RootWater,VPD,0.040756739514200516
3,Desert (BW),0.3667249930501538,0.05671290857640777,0.011706779854929454,0.15332250159308858,RootWater,SM L3,0.0531374988394689
4,Semi-arid (BS),0.3347964663171926,0.052087190065448125,0.013904051580905165,0.132454525489245,RootWater,SM L3,0.04101073454144165
5,Temperate + Med,0.36508321956207723,0.06702717127178494,0.01177046987934077,0.15047184662678934,RootWater,SM L3,0.05720993748585696
